Date,rmrf,Ermrf,NdrMinus,Ncf,Rf,FFS1BM1,FFS1BM3,FFS1BM5,FFS3BM1,FFS3BM3,FFS3BM5,FFS5BM1,FFS5BM3,FFS5BM5
1944-03-01 0:00,0.0449,0.0281,0.0136,0.0032,0.0009,0.1716,0.1045,0.2029,0.0826,0.0797,0.1646,0.0367,0.0463,0.1989
1944-06-01 0:00,0.0874,0.0239,0.0257,0.0377,-0.0105,0.3548,0.1769,0.1962,0.0946,0.119,0.1606,0.0755,0.0481,0.0997
1944-09-01 0:00,-0.0006,0.0206,-0.0123,-0.009,-0.0048,0.0453,0.031,-0.0179,0.0344,0.0283,0.0067,-0.0027,0,-0.009
1944-12-01 0:00,0.0584,0.0235,0.0059,0.029,-0.0047,0.02,0.1444,0.1373,0.039,0.0579,0.1336,0.0263,0.0833,0.1702
1945-03-01 0:00,0.0406,0.0205,0.0403,-0.0203,0.0009,0.1783,0.0782,0.0716,0.0557,0.0801,0.076,0.0205,0.0437,0.0502
1945-06-01 0:00,0.0961,0.016,0.0358,0.0443,-0.0157,0.1413,0.16,0.2645,0.1036,0.0868,0.1823,0.0558,0.0766,0.134
1945-09-01 0:00,0.0823,0.0121,0.0537,0.0165,0.0009,-0.0164,0.0676,0.0917,0.0934,0.1142,-0.0007,0.1228,0.0514,0.0394
1945-12-01 0:00,0.1019,0.0082,0.0796,0.0142,-0.0046,0.3346,0.2542,0.2301,0.1452,0.1857,0.1244,0.0522,0.112,0.12
1946-03-01 0:00,0.0576,0.0054,0.0095,0.0426,-0.0046,0.2699,0.1065,0.1241,0.0407,0.0722,0.1174,0.0493,0.0673,0.047
1946-06-01 0:00,0.0398,0.0061,0.0593,-0.0257,-0.0205,0.0775,0.0939,0.0492,0.0177,0.0236,0.0242,-0.0023,0.0433,0.0252
1946-09-01 0:00,-0.1997,0.0042,-0.2043,0.0003,-0.0825,-0.3889,-0.3394,-0.3893,-0.3461,-0.2988,-0.338,-0.2425,-0.2225,-0.2928
1946-12-01 0:00,0.0367,0.0274,-0.0069,0.0162,-0.0503,-0.1302,-0.0415,-0.0125,-0.0054,-0.0058,-0.0042,-0.0211,-0.0396,-0.012
1947-03-01 0:00,-0.0147,0.0171,-0.0132,-0.0186,-0.0174,-0.0112,-0.0601,0.0185,-0.0323,-0.0295,0.0114,0.0016,-0.0306,-0.0535
1947-06-01 0:00,-0.0078,0.0206,-0.0407,0.0123,-0.0036,-0.0928,-0.1017,-0.0994,-0.0977,-0.0437,-0.0593,0.006,-0.0213,-0.0172
1947-09-01 0:00,0.0165,0.0224,-0.0147,0.0088,-0.0417,0.0414,0.0103,0.0539,0.0221,0.0243,0.0397,-0.0329,-0.0453,0.0027
1947-12-01 0:00,0.0332,0.023,-0.0293,0.0394,-0.0148,-0.0743,-0.0091,0.037,0.0175,-0.0034,0.0031,0.0005,0.0301,0.0769
1948-03-01 0:00,-0.0054,0.0242,-0.0907,0.0611,0.0025,0.0789,0.0085,0.0543,-0.0197,0.03,0.0694,-0.0177,-0.0087,0.0308
1948-06-01 0:00,0.1063,0.0319,0.1009,-0.0265,-0.0266,0.0505,0.0848,0.1085,0.0632,0.0464,0.0789,0.0707,0.0814,0.15
1948-09-01 0:00,-0.0804,0.0227,-0.1048,0.0017,-0.0137,-0.1763,-0.1283,-0.1284,-0.1054,-0.099,-0.1282,-0.0801,-0.0601,-0.0822
1948-12-01 0:00,-0.0081,0.0342,-0.0693,0.027,0.0195,-0.0344,-0.083,-0.0448,-0.0145,0.0038,-0.0657,0.0523,0.004,-0.0389
1949-03-01 0:00,0.0109,0.0335,-0.077,0.0544,0.0155,0.0175,0.0918,0.0887,0.0532,0.0479,0.0368,0.035,0.0206,0.0133
1949-06-01 0:00,-0.0454,0.0367,-0.0846,0.0025,-0.0013,-0.1567,-0.1054,-0.0969,-0.0449,-0.0794,-0.1489,-0.0241,-0.0283,-0.1081
1949-09-01 0:00,0.1091,0.04,0.0655,0.0036,0.0026,0.2494,0.118,0.1075,0.1569,0.1407,0.1315,0.1098,0.1281,0.1351
1949-12-01 0:00,0.0987,0.0284,0.0179,0.0523,0.0154,0.0813,0.1085,0.1436,0.1407,0.1083,0.2023,0.141,0.0744,0.1305
1950-03-01 0:00,0.0399,0.0267,0.0247,-0.0115,0.0028,0.1476,0.1522,0.0742,0.0635,0.0621,0.0341,0.0447,0.0446,0.068
1950-06-01 0:00,0.0203,0.0256,-0.0174,0.0121,-0.0055,-0.0658,-0.0433,-0.0056,-0.0221,0.0267,0.0324,0.0363,0.0125,-0.0147
1950-09-01 0:00,0.1095,0.0322,-0.0464,0.1237,-0.0216,0.0851,0.1127,0.1784,0.0611,0.1157,0.2409,0.0538,0.1351,0.1588
1950-12-01 0:00,0.0794,0.0309,-0.046,0.0945,-0.0207,0.0066,0.0996,0.1539,0.0173,0.0563,0.2074,0.0328,0.068,0.1389
1951-03-01 0:00,0.0465,0.0365,0.04,-0.03,-0.0275,0.0797,0.0098,0.0195,0.0409,0.0081,-0.0044,0.0345,0.0311,0.0023
1951-06-01 0:00,-0.0037,0.0323,-0.0527,0.0167,0,-0.0675,-0.0507,-0.0573,-0.0638,-0.0345,-0.0536,-0.0023,0.0865,-0.0403
1951-09-01 0:00,0.1175,0.0397,0.0415,0.0363,-0.0036,0.1534,0.0977,0.102,0.07,0.1184,0.1464,0.1015,0.1026,0.1671
1951-12-01 0:00,0.0135,0.0297,-0.0386,0.0223,-0.011,-0.0786,-0.0387,-0.0389,-0.0116,-0.0055,-0.0494,-0.0032,0.0359,-0.0119
1952-03-01 0:00,0.0322,0.0318,-0.0291,0.0295,0.0116,0.0057,0.0148,0.0191,0.0302,0.022,0.0566,0.0281,0.0408,0.091
1952-06-01 0:00,0.0165,0.0372,0.0078,-0.0285,-0.0034,-0.1011,-0.0008,-0.0073,-0.0097,-0.0086,0.0359,0.0268,0.0177,0.0362
1952-09-01 0:00,-0.0191,0.0313,-0.0149,-0.0355,-0.003,-0.0604,0.0085,-0.0107,0.0186,0.0164,-0.0524,-0.0247,-0.0293,-0.0293
1952-12-01 0:00,0.0778,0.0342,0.0217,0.0219,0.0049,-0.0061,0.0369,0.049,0.0626,0.0674,0.0837,0.089,0.0765,0.1257
1953-03-01 0:00,-0.0217,0.025,-0.042,-0.0048,0.0089,0.0209,0.0667,0.0531,0.0536,0.0256,0.0024,-0.0258,-0.0144,-0.0319
1953-06-01 0:00,-0.0428,0.0346,-0.1088,0.0314,-0.0022,-0.0195,-0.0653,-0.056,-0.0599,-0.0517,-0.0426,-0.0408,-0.0254,-0.0146
1953-09-01 0:00,-0.0219,0.0415,-0.0538,-0.0096,0.0011,-0.113,-0.0619,-0.0658,-0.0148,-0.0511,-0.1012,0.0003,-0.0374,-0.1
1953-12-01 0:00,0.0709,0.0419,0.0343,-0.0053,0.0036,-0.0461,0.0447,0.0102,0.0682,0.0465,0.0306,0.0992,0.084,0.0116
1954-03-01 0:00,0.103,0.0323,0.0186,0.0521,0.0025,0.1413,0.0797,0.1132,0.1138,0.1287,0.0979,0.098,0.142,0.11
1954-06-01 0:00,0.0821,0.0326,0.0589,-0.0095,0.0019,-0.0926,0.0877,0.0599,0.0696,0.0628,0.0857,0.1112,0.0546,0.082
1954-09-01 0:00,0.0864,0.029,0.0331,0.0243,0.006,0.0592,0.0747,0.186,0.0712,0.1258,0.1058,0.0823,0.1345,0.0756
1954-12-01 0:00,0.1265,0.025,0.06,0.0416,0.0064,0.1857,0.1746,0.2131,0.1439,0.1806,0.2213,0.1224,0.1509,0.3213
1955-03-01 0:00,0.0333,0.0204,-0.0004,0.0133,0.0034,-0.0079,0.118,0.1004,0.0545,0.0819,0.1004,0.0266,0.0082,0.0758
1955-06-01 0:00,0.1036,0.0193,0.0464,0.0378,0.0038,0.0286,0.0379,0.0656,0.0678,0.068,0.0276,0.145,0.1314,0.111
1955-09-01 0:00,0.0172,0.0126,0.0559,-0.0513,-0.0027,0.1205,0.0225,0.01,0.019,-0.0119,-0.0073,0.0253,0.0068,-0.0211
1955-12-01 0:00,0.0534,0.0153,0.0021,0.036,0.0099,-0.0395,0.0026,0.0649,0.1147,0.0951,0.0737,0.0682,0.0494,0.0597
1956-03-01 0:00,0.0706,0.0095,0.0129,0.0481,0.0057,0.1113,0.0238,0.0887,0.0638,0.0683,0.0295,0.0751,0.0677,0.092
1956-06-01 0:00,-0.0159,0.0085,-0.0285,0.0041,-0.0081,-0.0653,-0.0259,-0.0527,-0.0098,0.0173,-0.0477,-0.0169,-0.0057,-0.0747
1956-09-01 0:00,-0.0376,0.0116,-0.0122,-0.037,-0.0005,-0.0769,-0.0162,-0.0037,-0.0026,-0.0107,-0.0273,-0.0559,-0.0026,-0.0528
1956-12-01 0:00,0.0367,0.0113,-0.023,0.0484,0.0005,-0.0469,-0.0126,0.0266,0.036,0.038,0.0166,0.0293,0.0634,0.0045
1957-03-01 0:00,-0.0347,0.0109,-0.0828,0.0372,0.0005,-0.0015,0.012,0.0149,-0.0068,-0.0077,-0.0084,-0.0456,-0.0276,-0.0313
1957-06-01 0:00,0.0655,0.018,0.0477,-0.0002,-0.0028,0.027,0.0099,0.0329,0.0676,0.0372,0.001,0.0981,0.0476,0.0522
1957-09-01 0:00,-0.1093,0.0116,-0.1137,-0.0072,0.0014,-0.0094,-0.0663,-0.0907,-0.1101,-0.1014,-0.0967,-0.113,-0.0661,-0.1282
1957-12-01 0:00,-0.0654,0.0272,-0.0998,0.0072,0.0047,-0.1716,-0.121,-0.1355,-0.0873,-0.0788,-0.0873,-0.0501,-0.0294,-0.1793
1958-03-01 0:00,0.0639,0.0351,0.0211,0.0077,-0.0101,0.1337,0.1036,0.1566,0.1013,0.1128,0.1444,0.0267,0.0684,0.0849
1958-06-01 0:00,0.0811,0.0277,0.0901,-0.0367,-0.0012,0.1464,0.0824,0.1058,0.1222,0.0879,0.1225,0.0743,0.0738,0.1419
1958-09-01 0:00,0.106,0.0172,0.0686,0.0201,0.0047,0.0742,0.1565,0.1771,0.1188,0.1414,0.2155,0.1173,0.1167,0.1854
1958-12-01 0:00,0.1017,0.0073,0.0998,-0.0054,0.0068,0.2489,0.1529,0.0963,0.0888,0.0849,0.1243,0.1091,0.1088,0.1164
1959-03-01 0:00,0.0186,0.0007,0.0413,-0.0233,0.007,0.121,0.1627,0.1336,0.0513,0.1058,0.0414,0.0039,-0.0159,0.0714
1959-06-01 0:00,0.0517,0.0013,-0.0176,0.068,0.0008,-0.0437,0.0052,0.0599,0.0537,0.0245,0.1024,0.0799,0.0608,0.0989
1959-09-01 0:00,-0.0328,0.0032,-0.0197,-0.0162,0.0022,-0.0735,-0.0316,-0.048,-0.0405,-0.0192,-0.022,-0.0257,-0.0122,-0.0292
1959-12-01 0:00,0.0512,0.0065,0.0602,-0.0156,0.0073,0.0689,0.012,0.0311,0.1049,0.0415,-0.0053,0.0816,0.0329,0.0516
1960-03-01 0:00,-0.0789,-0.0043,-0.0781,0.0036,0.0095,-0.1185,-0.0537,-0.0214,-0.0635,-0.073,-0.1226,-0.0733,0.0223,-0.1859
1960-06-01 0:00,0.0322,0.0147,0.0561,-0.0386,0.0011,-0.0865,0.0099,0.0062,0.1187,0.0289,-0.0481,0.0584,0.0079,-0.0256
1960-09-01 0:00,-0.0572,0.0076,-0.065,0.0001,0.006,-0.0258,-0.0032,-0.0445,-0.0582,-0.0252,-0.0653,-0.0854,0.0094,-0.0131
1960-12-01 0:00,0.0836,0.0175,0.0406,0.0256,-0.0011,-0.0476,-0.0131,-0.0013,0.0614,0.0643,0.0234,0.0691,0.132,0.094
1961-03-01 0:00,0.1235,0.0115,0.1178,-0.0058,0.0059,0.2925,0.2083,0.2258,0.1973,0.169,0.2442,0.0979,0.1325,0.1381
1961-06-01 0:00,-0.0031,-0.0012,0.0537,-0.0556,0.0056,-0.0678,-0.0066,-0.0072,-0.016,-0.0141,0.0026,0.0105,-0.006,0.0339
1961-09-01 0:00,0.0323,-0.0032,0.0235,0.012,-0.0009,-0.0002,-0.0653,-0.0329,-0.0455,-0.0124,-0.0216,0.0464,0.0056,0.058
1961-12-01 0:00,0.0662,-0.0032,0.0674,0.0021,0.0062,0.064,0.0887,0.0633,0.0895,0.0657,0.0191,0.0536,0.1054,0.0467
1962-03-01 0:00,-0.0307,-0.0068,-0.0388,0.0149,0.0036,0.0274,0.0594,0.0464,-0.0211,-0.0221,0.0233,-0.0445,0.0127,-0.0199
1962-06-01 0:00,-0.2463,0.006,-0.2233,-0.0289,0.0036,-0.1664,-0.2705,-0.2442,-0.2838,-0.2775,-0.2229,-0.2889,-0.1674,-0.1847
